,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,model
0,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 AC
1,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
3,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,Datsun RediGO T
4,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,Honda,Honda Amaze VX
5,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
6,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Xcent 1.2
7,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Tata Indigo Grand
8,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Creta 1.6
9,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Maruti Celerio Green
10,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Sail 1.2
11,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Tata Indigo Grand
12,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Toyota Corolla Altis
13,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Ciaz VXi
14,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai Venue SX
15,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Enjoy TCDi
16,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,Jaguar,Jaguar XF 2.2
17,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,Mercedes-Benz New C-Class
18,Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,Maruti,Maruti Vitara Brezza
20,Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,Honda,Honda City V
21,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,Tata,Tata Tigor 1.2
